SZd-ID;Datierung;Sterbejahr;epidat;epidat_;Weblink
wld-01.019.003-00;1829;1829;wdf-315;wdf-0315;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-315
wld-01.019.004-00;1829;1829;wdf-316;wdf-0316;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-316
wld-01.019.005-00;1829;1829;wdf-317;wdf-0317;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-317
wld-01.019.006-00;;;wdf-318;wdf-0318;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-318
wld-01.019.007-00;1833;1833;wdf-319;wdf-0319;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-319
wld-01.019.008-00;1830;1830;wdf-320;wdf-0320;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-320
wld-01.019.009-00;1830;1830;wdf-321;wdf-0321;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-321
wld-01.019.010-00;1830;1830;wdf-322;wdf-0322;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-322
wld-01.019.011-00;;;wdf-323;wdf-0323;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-323
wld-01.020.000-00;;;wdf-226;wdf-0226;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-226
wld-01.020.001-00;1829;1829;wdf-313;wdf-0313;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-313
wld-01.020.002-00;1836;1835/6?;wdf-314;wdf-0314;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-314
wld-01.020.003-00;1834;1834;wdf-266;wdf-0266;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-266
wld-01.020.004-00;1835;1835?;wdf-267;wdf-0267;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-267
wld-01.020.005-00;1829;1829;wdf-268;wdf-0268;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-268
wld-01.020.006-00;1829;1829;wdf-269;wdf-0269;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-269
wld-01.020.007-00;1831;1830/31;wdf-270;wdf-0270;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-270
wld-01.020.008-00;1830;1829/30?;wdf-271;wdf-0271;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-271
wld-01.020.009-00;1831;1831;wdf-272;wdf-0272;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-272
wld-01.020.010-00;1831;1831;wdf-273;wdf-0273;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-273
wld-01.020.011-00;1832;1832;wdf-274;wdf-0274;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-274
wld-01.020.012-00;1832;1832;wdf-275;wdf-0275;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-275
wld-01.020.013-00;1832;1832;wdf-276;wdf-0276;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-276
wld-01.020.014-00;1834;1834;wdf-218;wdf-0218;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-218
wld-01.020.014-01;1836;1836;wdf-220;wdf-0220;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-220
wld-01.020.015-00;1838;1838;wdf-219;wdf-0219;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-219
wld-01.020.016-00;1836;1836;wdf-221;wdf-0221;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-221
wld-01.020.017-00;1834;1834;wdf-222;wdf-0222;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-222
wld-01.020.018-00;1834;1834;wdf-223;wdf-0223;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-223
wld-01.020.019-00;1838;1838;wdf-224;wdf-0224;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-224
wld-01.020.020-00;1838;1838;wdf-225;wdf-0225;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-225
wld-01.020.021-00;;;wdf-227;wdf-0227;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-227
wld-01.020.022-00;1838;1838;wdf-228;wdf-0228;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-228
wld-01.020.023-00;;;wdf-229;wdf-0229;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-229
wld-01.020.023-01;;;wdf-230;wdf-0230;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-230
wld-01.020.024-00;1724;1724;wdf-231;wdf-0231;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-231
wld-01.020.025-00;1728;1728;wdf-232;wdf-0232;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-232
wld-01.020.025-00;1728;1728;wdf-232;wdf-0232;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-232
wld-01.020.026-00;1819;1819;wdf-233;wdf-0233;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-233
wld-01.020.027-00;;;wdf-234;wdf-0234;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-234
wld-01.020.028-00;;;wdf-235;wdf-0235;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-235
wld-01.020.029-00;;;wdf-236;wdf-0236;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-236
wld-01.020.030-00;1729;1729;wdf-237;wdf-0237;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-237
wld-01.021.002-00;1838;1838;wdf-203;wdf-0203;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-203
wld-01.021.001-00;1850;1850;wdf-202;wdf-0202;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-202
wld-01.021.003-00;1836;1836;wdf-204;wdf-0204;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-204
wld-01.021.004-00;1830;1829/30;wdf-205;wdf-0205;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-205
wld-01.021.005-00;1829;1829;wdf-206;wdf-0206;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-206
wld-01.021.006-00;;;wdf-207;wdf-0207;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-207
wld-01.021.007-00;1881;1881;wdf-208;wdf-0208;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-208
wld-01.021.007-01;;;wdf-209;wdf-0209;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-209
wld-01.021.008-00;;;wdf-210;wdf-0210;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-210
